VEHICLE_TYPE,REGISTRATIONS,YEAR,MONTH
Multi Axled Articulated Vehicle,153,2025,APRIL
Trucks and Lorries,612,2025,APRIL
Light Goods Four Wheeler,963,2025,APRIL
Light Goods Three Wheeler,310,2025,APRIL
Multi Axled Articulated Vehicle,71,2025,MAY
Trucks and Lorries,537,2025,MAY
Light Goods Four Wheeler,1038,2025,MAY
Light Goods Three Wheeler,337,2025,MAY
Multi Axled Articulated Vehicle,60,2025,JUNE
Trucks and Lorries,538,2025,JUNE
Light Goods Four Wheeler,992,2025,JUNE
Light Goods Three Wheeler,494,2025,JUNE
Multi Axled Articulated Vehicle,64,2025,JULY
Trucks and Lorries,623,2025,JULY
Light Goods Four Wheeler,1064,2025,JULY
Light Goods Three Wheeler,286,2025,JULY
Multi Axled Articulated Vehicle,31,2025,AUGUST
Trucks and Lorries,598,2025,AUGUST
Light Goods Four Wheeler,1171,2025,AUGUST
Light Goods Three Wheeler,427,2025,AUGUST
Multi Axled Articulated Vehicle,43,2025,SEPTEMBER
Trucks and Lorries,582,2025,SEPTEMBER
Light Goods Four Wheeler,1085,2025,SEPTEMBER
Light Goods Three Wheeler,234,2025,SEPTEMBER
Multi Axled Articulated Vehicle,20,2025,OCTOBER
Trucks and Lorries,479,2025,OCTOBER
Light Goods Four Wheeler,1539,2025,OCTOBER
Light Goods Three Wheeler,394,2025,OCTOBER
Multi Axled Articulated Vehicle,32,2025,NOVEMBER
Trucks and Lorries,566,2025,NOVEMBER
Light Goods Four Wheeler,1340,2025,NOVEMBER
Light Goods Three Wheeler,378,2025,NOVEMBER
Multi Axled Articulated Vehicle,49,2025,DECEMBER
Trucks and Lorries,592,2025,DECEMBER
Light Goods Four Wheeler,1093,2025,DECEMBER
Light Goods Three Wheeler,263,2025,DECEMBER
