VEHICLE_TYPE,RTO_REGION,REGISTRATIONS,YEAR,MONTH,,,,,
Multi Axled Articulated Vehicle,BNG CENTRAL,10922,2020,APRIL,,,,,
Multi Axled Articulated Vehicle,BNG WEST,304,2020,APRIL,,,,,
Multi Axled Articulated Vehicle,BNG EAST,727,2020,APRIL,,,,,
Multi Axled Articulated Vehicle,BNG NORTH,258,2020,APRIL,,,,,
Multi Axled Articulated Vehicle,BNG SOUTH,662,2020,APRIL,,,,,
Multi Axled Articulated Vehicle,KR Puram,589,2020,APRIL,,,,,
Multi Axled Articulated Vehicle,Jnana Bharati,106,2020,APRIL,,,,, 
Multi Axled Articulated Vehicle,Electronic City,1008,2020,APRIL,,,,,
Multi Axled Articulated Vehicle,Yelahanka,15,2020,APRIL,,,,,
Multi Axled Articulated Vehicle,Devanahalli,57,2020,APRIL,,,,,
Multi Axled Articulated Vehicle,Chandapura,457,2020,APRIL,,,,,
Trucks and Lorries,BNG CENTRAL,56586,2020,APRIL,,,,,
Trucks and Lorries,BNG WEST,16708,2020,APRIL,,,,,
Trucks and Lorries,BNG EAST,10050,2020,APRIL,,,,,
Trucks and Lorries,BNG NORTH,12305,2020,APRIL,,,,,
Trucks and Lorries,BNG SOUTH,22815,2020,APRIL,,,,,
Trucks and Lorries,KR Puram,10338,2020,APRIL,,,,,
Trucks and Lorries,Jnana Bharati,6808,2020,APRIL,,,,,
Trucks and Lorries,Electronic City,16636,2020,APRIL,,,,,
Trucks and Lorries,Yelahanka,6094,2020,APRIL,,,,,
Trucks and Lorries,Devanahalli,4098,2020,APRIL,,,,,
Trucks and Lorries,Chandapura,8686,2020,APRIL,,,,,
Light Goods Four Wheeler,BNG CENTRAL,18321,2020,APRIL,,,,,
Light Goods Four Wheeler,BNG WEST,15810,2020,APRIL,,,,,
Light Goods Four Wheeler,BNG EAST,9474,2020,APRIL,,,,,
Light Goods Four Wheeler,BNG NORTH,16113,2020,APRIL,,,,,
Light Goods Four Wheeler,BNG SOUTH,24860,2020,APRIL,,,,,
Light Goods Four Wheeler,KR Puram,17717,2020,APRIL,,,,,
Light Goods Four Wheeler,Jnana Bharati,12569,2020,APRIL,,,,,
